11,Item Name,Item Description,Category,Procurement Status,Value,Priceless,Donor,Solicitor,Date Received,Notes,Finance Rcvd
,Armida Winery,,,solicited,,,,Susan Hill,05-25-2018,,
57,Bargetto Winery,,,Solicited,,,,Susan Hill,04-11-2018,,
,Bicylce Trip,,,solicited,,,,Susan Hill,06-01-2018,,
32,Brew Cruz,,,Solicited,,,,Susan Hill,04-05-2018,,
42,Burke Williams Spa,,,Solicited,,,,Susan Hill,04-11-2018,,
23,Buttery restaurant/bakery,,,Solicited,,,,Susan Hill,04-04-2018,,
61,Canna Cruz,,tour,Solicited,,,,Susan Hill,04-12-2018,,
,Capitola Wine Bar,*decl for business but owner D. Conrad may make personal donation,,solicited,,,,Susan Hill,05-25-2018,,
,Carousel Candy,,,solicited,,,,Susan Hill,05-25-2018,,
22,Chardonnay  Sailing Charters,4/11 per Brianna asked resubmit in few months,activity,Solicited,,,,Susan Hill,04-04-2018,,
,Charlie Hong Kong,,,solicited,,,,Susan Hill,06-01-2018,,
62,"Chorini, Hunt & Jacobs",wine (my accountant,,Solicited,,,,Susan Hill,04-12-2018,,
65,Closet Capers,,,Solicited,,,,Susan Hill,04-13-2018,,
69,Coffee Cat,,,solicited,,,,Susan Hill,04-18-2018,,
25,Dave's Custom Bikes in Santa Cruz,,,Solicited,,,,Susan Hill,04-04-2018,,
58,Dream Inn,,,Solicited,,,,Susan Hill,04-11-2018,,
76,Dyenosaur,,,solicited,,,,Susan Hill,04-19-2018,,
,elSalchichero,,,solicited,,,,Susan Hill,06-02-2018,,
,Gilroy Gardens,2 one-day passes,,solicited,,,,Susan Hill,05-18-2018,,
,Gucci @ Santana Row,,,solicited,,,,Susan Hill,05-17-2018,,
63,Hart's Fabric,sewing class,,Solicited,,,,Susan Hill,04-13-2018,,
41,Hotel Valencia,Santana Row staycation,,Solicited,,,,Susan Hill,04-11-2018,,
,Kelly's French Bakery,,,solicited,,,,Susan Hill,06-02-2018,,
64,Kerry Lewis,singer *donated $ to foundation,,Solicited,,,,Susan Hill,04-13-2018,,
56,KHIP Radio,,,Solicited,,,,Susan Hill,04-11-2018,,
,Left Bank @ Santana Row,,,solicited,,,,Susan Hill,05-17-2018,,
34,Love Apple Farms,,,Solicited,,,,Susan Hill,04-05-2018,,
,Maggianno's @ Santana Rw,,,solicited,,,,Susan Hill,05-17-2018,,
,Margaritaville,,,solicited,,,,Susan Hill,05-25-2018,,
26,Mermaid Shop,,,Solicited,,,,Susan Hill,04-04-2018,,
60,Modern Handmade,sewing class,,Solicited,,,,Susan Hill,04-12-2018,,
,Mr Toots,,,solicited,,,,Susan Hill,05-25-2018,,
,Mt Herman,,,solicited,,,,Susan Hill,,,
,Nubia Swimwear,,,solicited,,,,Susan Hill,05-25-2018,,
21,O'Neill Charters/ surf shop,sailing in Santa Cruz/ TBA,activity,Solicited,TBA,no,O'Neill Charters,Susan Hill,04-04-2018,,
,Oceania,,,solicited,,,,Susan Hill,05-25-2018,,
,Odonata,"tasting, verbal committment",,solicited,,,,Susan Hill,06-02-2018,,
74,Petroglyph,,,solicited,,,,Susan Hill,04-19-2018,,
43,San Jose Institute for Contemporary Art,,,Solicited,,,,Susan Hill,04-11-2018,,
,Sand Bar,,,solicited,,,,Susan Hill,05-25-2018,,
,Santa Cruz Mountain Brewing,,,solicited,,,,Susan Hill,06-02-2018,,
27,Santa Cruz Mountain Vineyard,,,Solicited,,,,Susan Hill,04-04-2018,,
75,Santa Cruz Museum of Arts,,,solicited,,,,Susan Hill,04-19-2018,,
33,Santa Cruz parks - lifeguards,activity? TBA,,Solicited,,,,Susan Hill,04-05-2018,,
70,Santosh K,requested wine,,solicited,,,,Susan Hill,04-17-2018,,
88,Scarborough Lumber,,,solicited,,,,Susan Hill,04-25-2018,,
,Scotts Valley Car Wash,,,solicited,,,,Susan Hill,05-09-2018,,
89,Scotts Valley Market,,,solicited,,,,Susan Hill,04-25-2018,,
102,Sephora @ Santana Row,,,solicited,,,,Susan Hill,05-03-2018,,
28,Sone Cellars,,,Solicited,,,,Susan Hill,04-04-2018,,
,Stagnero,boating/fishing aka santacruwhalewatching.com,,solicited,,,,Susan Hill,05-09-2018,,
93,Tehauni dance,,lessons,solicited,,,,Susan Hill,04-27-2018,,
98,Testarossa Winery,,,solicited,,,,Susan Hill,05-02-2018,,
,The Swift Stitch,Knitting lessons,,solicited,,,,Susan Hill,06-02-2018,,
,Wharf House,,,solicited,,,,Susan Hill,05-25-2018,,
,,,,solicited,,,,Susan Hill,05-25-2018,,
,Cali Style,,,solicited,,,,Susan Hill,06-09-2018,,
,Natasha's attic,costume rental to pair with experience,,solicited,,,,Susan Hill,06-13-2018,,
,Mutari Chocolate,,,solicited,,,,Susan Hill,06-16,,
,Pacific Trading Co,,,solicited,,,,Susan Hill,06-16,,
,The Hat Company,,,solicited,,,,Susan Hill,06-16,,
,Bunny's Shoes,,,solicited,,,,Susan Hill,06-16,,
,Camoflage,,,solicited,,,,Susan Hill,06-16,,
,Marini's,,,solicited,,,,Susan Hill,06-16,,
,Auntie Mamie's,,,solicited,,,,Susan Hill,06-17-2018,,
,Title Nine,,,solicited,,,,Susan Hill,6-28-2018,,
